"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Ncbp2",-0.848472711646626,5.83418039964651,-9.43749876906262,2.09380281579323e-13,1.32044973420013e-11,20.180947497211,"Ncbp2","DOWN",12.679064220482,"DOWN"
"Pcbp1",-0.204686079529426,8.21795677446224,-2.67259054813674,0.00971099795810037,0.0401602637046565,-4.23513027303097,"Pcbp1","NOT",2.01273613719543,"NOT"
"Phf5a",-0.731028990228355,5.75337268990213,-7.21308125014929,1.16281910467572e-09,2.97313682503557e-08,11.6439924547228,"Phf5a","DOWN",8.9344878415498,"DOWN"
"Plrg1",-0.0408865395713256,6.63957514749534,-0.492406927807101,0.62425428593117,0.755666754791025,-7.23734992714487,"Plrg1","NOT",0.204638467238742,"NOT"
"Ppie",0.32674742364664,5.66399812393187,3.45303116702363,0.00103034953735541,0.00589971793176016,-1.68989303137522,"Ppie","NOT",2.9870154195735,"NOT"
"Ppih",-0.974330215027322,3.67611063631247,-6.25223620510735,4.86930886705947e-08,8.5895489168471e-07,8.25295474237463,"Ppih","DOWN",7.31253267667506,"DOWN"
"Ppil1",-0.698252644255348,6.10716679147294,-7.38370928222149,5.96941672989605e-10,1.61873746418343e-08,12.2553731614669,"Ppil1","DOWN",9.2240681015947,"DOWN"
"Pqbp1",-0.272791247766749,5.29674505892114,-2.81096457473782,0.00668841671229917,0.0294154606478907,-3.36161836359672,"Pqbp1","NOT",2.17467667662552,"NOT"
"Prpf18",-0.159244392646431,5.18111369015232,-1.64812954876176,0.10462783274684,0.263908389877882,-5.74341271366265,"Prpf18","NOT",0.980352770531139,"NOT"
"Prpf19",-0.23297938802834,7.55527762907687,-2.99075843293974,0.00405191938639602,0.0191860174586988,-3.30705333999666,"Prpf19","NOT",2.3923392035861,"NOT"
"Prpf3",-0.554647148128093,5.74269622558796,-6.06645381219451,9.94543222426358e-08,1.60789802282062e-06,7.25670396651203,"Prpf3","NOT",7.00237633787553,"NOT"
"Prpf31",-1.10901108385685,5.67322343072122,-11.516746626857,9.58602522049805e-17,1.34930716853681e-14,27.8215151328163,"Prpf31","DOWN",16.0183614327291,"DOWN"
"Prpf38a",-0.261972104818446,5.61774804179828,-2.84370196548025,0.0061135263201512,0.0272558470570398,-3.33826012285881,"Prpf38a","NOT",2.21370821371491,"NOT"
"Prpf38b",0.0963243140100344,6.26596142907335,1.08570313282574,0.282014874478977,0.509329529970522,-6.70039697933525,"Prpf38b","NOT",0.549727984823268,"NOT"
"Prpf4",-0.28560231069999,6.15497595845635,-3.31210181559498,0.00158258538230546,0.00856264296307018,-2.17872404121577,"Prpf4","NOT",2.80063284999066,"NOT"
"Prpf40a",-0.314174449149877,6.81892486301689,-3.66202653176968,0.000535715057259249,0.00332926059821992,-1.27124877205809,"Prpf40a","NOT",3.27106614680858,"NOT"
"Prpf40b",1.12363025813187,5.20315926234815,11.49377554742,1.04074827651745e-16,1.44998536667663e-14,27.7531742327362,"Prpf40b","UP",15.9826542996337,"UP"
"Prpf6",0.151374539117396,7.54524267939445,1.92996859815257,0.0584098402463615,0.171228932647063,-5.69736428221552,"Prpf6","NOT",1.23351398157435,"NOT"
"Prpf8",-0.401240508392288,9.49463331052546,-5.47577413616659,9.34417369243001e-07,1.20472781406604e-05,4.40566113370887,"Prpf8","NOT",6.02945909735466,"NOT"
"Puf60",-0.0194737399442982,7.59588441650256,-0.247400356617592,0.805455050305172,0.887635482883923,-7.50698562647873,"Puf60","NOT",0.0939586910599443,"NOT"
"Rbm17",-0.56036530815886,6.26197331653254,-6.41729611710096,2.57429294672059e-08,4.8580661711195e-07,8.50998453755911,"Rbm17","NOT",7.5893420332261,"NOT"
"Rbm22",0.0902701541670675,5.83321367463213,1.0184034706592,0.312633285816217,0.54734266891807,-6.69060095145321,"Rbm22","NOT",0.504964784868559,"NOT"
"Rbm25",-0.208109105630939,6.47328213974483,-2.28930907353505,0.0256467686638109,0.0896029058217354,-4.78634865848075,"Rbm25","NOT",1.5909673455572,"NOT"
"Rbm8a",-0.462873645754837,6.56040509501993,-5.24490629570846,2.20677068802356e-06,2.6245769676768e-05,4.08601107153105,"Rbm8a","NOT",5.65624279329966,"NOT"
"Rbmx",-1.23823736612266,4.2943818576467,-10.5806221927041,2.87847439498761e-15,2.75798246680444e-13,24.4799409448632,"Rbmx","DOWN",14.5408376293893,"DOWN"
"Rnu1a1",-1.78698388342509,-0.159557224131822,-3.61607523095842,0.000619647161741934,0.00378454597309036,-0.430968695030018,"Rnu1a1","DOWN",3.20785553522399,"DOWN"
"Rnu2-10",-2.64305011707355,-3.73554994662296,-3.23136473375076,0.00201457080081671,0.0105302181669927,-1.72923019442142,"Rnu2-10","DOWN",2.69581746500249,"DOWN"
"Rnu5g",-2.33677486783133,-3.09854966361929,-2.7679025908231,0.00752054040934109,0.0324019244174625,-2.58148592949357,"Rnu5g","DOWN",2.12375095084955,"DOWN"
"Rp9",0.0787282344200344,5.23458799816764,0.814159155473889,0.418819075705233,0.617721697858202,-6.76297999104215,"Rp9","NOT",0.377973545988291,"NOT"
"Sart1",-0.0151769440045967,6.91366985500633,-0.180168072932481,0.857636392241934,0.92318493950398,-7.39422478290368,"Sart1","NOT",0.0666967987631006,"NOT"
"Sf3a1",-0.387820156610584,7.02147703246149,-4.80778409483897,1.0869070573329e-05,0.000107810283380275,2.45165206217004,"Sf3a1","NOT",4.96380759134444,"NOT"
