"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"1259","geneComp_00001103","A630001G21Rik","A630001G21Rik","sgC9","sgNTC",0.0223808951193104,TRUE,821
"1260","geneComp_00006172","ENSMUSG00000120574","ENSMUSG00000120574","sgC9","sgNTC",0.0225450480567884,TRUE,822
"1262","geneComp_00019634","Pja2","Pja2","sgC9","sgNTC",0.0229556172727249,FALSE,823
"1263","geneComp_00001152","A930015D03Rik","A930015D03Rik","sgC9","sgNTC",0.0232296111140514,FALSE,824
"1264","geneComp_00015123","Hexdc","Hexdc","sgC9","sgNTC",0.0234224269807841,TRUE,825
"1265","geneComp_00005508","Efcab11","Efcab11","sgC9","sgNTC",0.0241886351270933,TRUE,826
"1266","geneComp_00007186","Fbxo11","Fbxo11","sgC9","sgNTC",0.0243183416835896,TRUE,827
"1267","geneComp_00016904","Map3k20","Map3k20","sgC9","sgNTC",0.0243368378726968,TRUE,828
"1269","geneComp_00007070","Fam228b","Fam228b","sgC9","sgNTC",0.0243391295864302,TRUE,829
"1270","geneComp_00023893","Tle1","Tle1","sgC9","sgNTC",0.0243391295864302,TRUE,830
"1271","geneComp_00004057","Clk3","Clk3","sgC9","sgNTC",0.0245590766719434,TRUE,831
"1272","geneComp_00017728","Mtrf1l","Mtrf1l","sgC9","sgNTC",0.0245940515147542,TRUE,832
"1273","geneComp_00023621","Tcf7l2","Tcf7l2","sgC9","sgNTC",0.0247032138214266,TRUE,833
"1275","geneComp_00014762","Gsg1","Gsg1","sgC9","sgNTC",0.024770059192772,FALSE,834
"1276","geneComp_00002938","C030014I23Rik","C030014I23Rik","sgC9","sgNTC",0.0250504552746461,FALSE,835
"1278","geneComp_00024807","Tyw3","Tyw3","sgC9","sgNTC",0.0250504552746461,TRUE,836
"1279","geneComp_00003624","Cdk2","Cdk2","sgC9","sgNTC",0.0255863083759885,TRUE,837
"1281","geneComp_00020863","Rbm7","Rbm7","sgC9","sgNTC",0.0256080335128144,TRUE,838
"1282","geneComp_00005334","Dusp2","Dusp2","sgC9","sgNTC",0.0258970505353452,TRUE,839
"1284","geneComp_00004668","Cyp4f41-ps","Cyp4f41-ps","sgC9","sgNTC",0.0259547906130412,TRUE,840
"1285","geneComp_00025578","Xylb","Xylb","sgC9","sgNTC",0.0261037585596179,TRUE,841
"1286","geneComp_00024235","Tnfrsf13c","Tnfrsf13c","sgC9","sgNTC",0.0261764677218606,FALSE,842
"1287","geneComp_00007750","Gfod2","Gfod2","sgC9","sgNTC",0.0262164529918715,TRUE,843
"1288","geneComp_00025956","Zfp606","Zfp606","sgC9","sgNTC",0.0263167779608376,FALSE,844
"1290","geneComp_00019847","Pnkp","Pnkp","sgC9","sgNTC",0.0270986549306286,FALSE,845
"1291","geneComp_00022808","Sntb2","Sntb2","sgC9","sgNTC",0.0272112745333453,FALSE,846
"1293","geneComp_00001399","Acy3","Acy3","sgC9","sgNTC",0.0272248386186363,FALSE,847
"1294","geneComp_00007689","Gbp7","Gbp7","sgC9","sgNTC",0.0276289417170662,FALSE,848
"1296","geneComp_00018093","Nedd8","Nedd8","sgC9","sgNTC",0.0276289417170662,TRUE,849
"1297","geneComp_00026168","Zgpat","Zgpat","sgC9","sgNTC",0.0277092419703553,TRUE,850
"1298","geneComp_00018046","Ndufaf4","Ndufaf4","sgC9","sgNTC",0.0277343735787902,TRUE,851
"1299","geneComp_00004867","Ddb2","Ddb2","sgC9","sgNTC",0.0277403524652637,TRUE,852
"1300","geneComp_00001547","Aff4","Aff4","sgC9","sgNTC",0.027898569264678,TRUE,853
"1301","geneComp_00004227","Col9a3","Col9a3","sgC9","sgNTC",0.0280069983411475,TRUE,854
"1302","geneComp_00006974","Faf2","Faf2","sgC9","sgNTC",0.0280731231850176,TRUE,855
"1303","geneComp_00023981","Tmem116","Tmem116","sgC9","sgNTC",0.0282245820442832,TRUE,856
"1304","geneComp_00002794","Bmp2k","Bmp2k","sgC9","sgNTC",0.0283789289204033,TRUE,857
"1306","geneComp_00004713","D16Ertd472e","D16Ertd472e","sgC9","sgNTC",0.0288678206450782,FALSE,858
"1307","geneComp_00017094","Med13l","Med13l","sgC9","sgNTC",0.0291516842561369,FALSE,859
"1308","geneComp_00022177","Shox2","Shox2","sgC9","sgNTC",0.0293099941788617,TRUE,860
"1309","geneComp_00023490","Tanc1","Tanc1","sgC9","sgNTC",0.0293242851888403,FALSE,861
"1310","geneComp_00023273","Strn","Strn","sgC9","sgNTC",0.0294691740127119,TRUE,862
"1312","geneComp_00002581","Banp","Banp","sgC9","sgNTC",0.029603386878709,TRUE,863
"1314","geneComp_00024043","Tmem179","Tmem179","sgC9","sgNTC",0.0298777668786925,TRUE,864
"1316","geneComp_00024561","Trp53rkb","Trp53rkb","sgC9","sgNTC",0.0300312664316113,TRUE,865
"1317","geneComp_00022466","Slc37a4","Slc37a4","sgC9","sgNTC",0.0302434008284313,FALSE,866
"1318","geneComp_00021104","Rmdn2","Rmdn2","sgC9","sgNTC",0.0303808291823823,TRUE,867
"1319","geneComp_00022781","Snord3b1","Snord3b1","sgC9","sgNTC",0.030507683452283,FALSE,868
