Functional_class,Class_description,Protein_number,Protein_id,Description,Color
R,General function prediction only ,231,Q9Y5S9 B7Z2Y7 A0A024QZH6 A0A024QZN7 A0A024QZP7 B2RDW9 B4DUQ1 A0A024R283 A0A024R2Z6 P61586 A0A0A6YYC7 A0A024R5B2 F2YHM7 P84090 A0A024R7C0 Q12906 A0A024R7T4 A0A024R914 Q9BWF9 Q9BU76 Q9BVS4 Q9BXP5 Q9BYG3 Q9H089 Q9H0A0 Q9H4K7 Q9H5U6 Q9H9B4 Q9HCG8 Q9HCM4 Q9NU22 Q9NW64 Q9NX84 Q9NZI8 Q9P035 Q9P0U4 Q9P2N5 Q9UK58 Q9UMS4 Q9Y2X9 Q9Y388 Q9Y3B4 Q9Y6Q3 A0A024R9Y6 A0A7I2V4S4 A0A024RAA5 P09651 E7ESI2 B3KY56 A8K6Y1 A6NIZ1 Q9UL25 Q9UPN1 A0A024RC47 E9PJ24 Q0EFC6 Q9NZJ7 D6RF44 A0A024RDK4 A0A024RDR0 A0A024RDU0 H0YJW7 A0A499FJY3 A0A087X0H9 Q9NNW5 A0A0G2JSB3 A0A090N7X1 C9JZE3 C9J931 A0A1B0GVW6 A0A0A0MTB8 Q3LIE7 F5H3E1 A0A0D9SEI3 A0A0D9SFZ9 J3KSI4 A0A0S2Z4W1 A0A0S2Z4X1 A0A0S2Z4Y5 Q5JRI1 E9PF19 E3W994 D3DP16 A0A6Q8PGE6 A0A1W2PNX8 A0A8I5KTG3 A0A2R8Y521 Q59FZ5 A0A384DVU0 H7BZF9 Q15366 B4E3E6 A0A384NL74 A0A385DPC5 A0A8V8TNA8 A0A3B3ITW3 A0A499FIX8 A0A804HL99 P27448 A0A7I2V3D5 B7Z381 O95248 A8K2P3 F8WBE5 A0A8V8TM72 Q9NSN1 A0A8V8TR54 A0MNN4 C9JEQ8 A4D2P2 A5PLN4 A8K321 A8K330 Q59H57 B4DSJ1 A8K513 A8K8U1 B4DF93 P62834 B0QYK0 B0QZ43 C9JAW5 B2R5W2 B2R9V3 B2RA91 B2RAX6 Q96RS0 M0QX71 Q8N1H4 Q15923 B3KPF2 B3KX32 B3KQX0 Q99549 B3KVL5 B4DE38 Q658M0 B4DK14 D6R9P3 B4DNN6 B4DNZ4 B4DQG5 Q6PK66 Q5T7A2 B4DZH7 B4E0B6 D3DP13 Q7L4X7 H0YM76 B5BU99 B7Z537 H3BME1 C9JDJ7 Q8N4P8 D3DN44 K7EMM8 Q6LES8 E7ES08 E9PSG0 I3L521 F5H157 F8VPD4 G3V5S9 G5E9Z2 H3BS25 H7C170 H7C3P7 J3KNJ2 J3QK89 J3QRS9 J9JIC7 Q96AB3 K7EP90 O00116 Q6IB11 O00425 O15042 O43824 O60524 O95218 Q5J7U2 R4SBI6 P17480 P25490 P26038 P26583 P56270 P61964 P84101 Q02040 Q02086 Q05CW7 Q13151 Q13442 Q549U1 Q5T0F3 Q14696 Q53SS8 Q4KMX3 Q5RLJ0 Q5QPR3 Q5SY16 Q5T8P6 Q5TCQ9 Q5VTL8 Q69YQ2 Q6P3X3 Q6P4A7 Q7L2J0 Q86W42 Q8IUI2 Q8IWX8 Q8IY81 Q8N0V3 Q8N5K1 Q8NC51 Q8NDT2 Q8TBB5 Q8WU90 Q8WXF0 Q969S3 Q96DF8 Q96HS1 Q96NC0 V9P4H4 Q96S94 Q96T58 Q9UBS0 Q9BRU9 Q9BSC4 Q9BTC0 ,"RNA-binding protein 8A,cDNA FLJ59521, moderately similar to Zinc finger and SCAN domain-containing protein 2,Serine arginine-rich pre-mRNA splicing factor SR-A1, isoform CRA_a,Chromosome 10 open reading frame 70, isoform CRA_b,Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a,GTP-binding protein 1,Heterogeneous nuclear ribonucleoprotein K,Zinc finger protein 532, isoform CRA_a,Guanine nucleotide-binding protein-like 3,Transforming protein RhoA,HCG2042749, isoform CRA_d,non-specific serine/threonine protein kinase,N-alpha-acetyltransferase 40,Enhancer of rudimentary homolog,Kelch-like ECH-associated protein 1,Interleukin enhancer-binding factor 3,Zinc finger protein 22 (KOX 15), isoform CRA_a,Centrosomal protein 350kDa, isoform CRA_a,PCTK3 protein (Fragment),Multiple myeloma tumor-associated protein 2,Serine/threonine-protein kinase RIO2,Serrate RNA effector molecule homolog,MKI67 FHA domain-interacting nucleolar phosphoprotein,Large subunit GTPase 1 homolog,RNA cytidine acetyltransferase,Mitochondrial ribosome-associated GTPase 2,rRNA N6-adenosine-methyltransferase ZCCHC4,Sideroflexin-1,Pre-mRNA-splicing factor CWC22 homolog,Band 4.1-like protein 5,Midasin,Pre-mRNA-splicing factor RBM22,Erythrocyte membrane protein band 4.1 like 4B, isoform CRA_b,Insulin-like growth factor 2 mRNA-binding protein 1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,CXXC-type zinc finger protein 1,RNA-binding protein 27,Cyclin-L1,Pre-mRNA-processing factor 19,Zinc finger protein 281,RNA-binding motif protein, X-linked 2,Splicing factor 3B subunit 6,Zinc finger protein 37 homolog,Guanine nucleotide binding protein-like 3 (Nucleolar)-like, isoform CRA_a,Heterogeneous nuclear ribonucleoproteins A2/B1,Cell division control protein 42 homolog,Heterogeneous nuclear ribonucleoprotein A1,Cyclin-dependent kinase 2,cDNA FLJ46898 fis, clone UTERU3022168, highly similar to Protein FAM62A,cDNA FLJ75526, highly similar to Homo sapiens proliferation-associated 2G4, 38kDa (PA2G4), mRNA (Fragment),Ras-related protein Rap-1b-like protein,Ras-related protein Rab-21,Serine/threonine-protein phosphatase (Fragment),Zinc finger protein 24 (KOX 17), isoform CRA_b,PHD and RING finger domain-containing protein 1,HSR1 protein,Mitochondrial carrier homolog 1,Heterogeneous nuclear ribonucleoprotein D0 (Fragment),Integrator complex subunit 12,High mobility group protein B1,Integrator complex subunit 6, isoform CRA_d,SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment),RNA-binding protein 15,RNA-binding protein 26,WD repeat-containing protein 6,RNA-binding protein fox-1 homolog 2 (Fragment),ATP-binding cassette, sub-family F (GCN20), member 2,Replication initiator 1 (Fragment),GTP-binding protein Rheb,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,WD repeat-containing protein 36,Uncharacterized protein Nbla03646,Cell division cycle and apoptosis regulator protein 1,Cyclin-dependent kinase 11B,Four and a half LIM domains protein 1 (Fragment),Mannose-P-dolichol utilization defect 1 protein,Serine/arginine repetitive matrix 1 isoform 1 (Fragment),Epididymis secretory sperm binding protein (Fragment),Dolichol-phosphate mannosyltransferase subunit 1 (Fragment),Serine/arginine-rich-splicing factor 10,Transducin beta-like protein 2,CLIP-associating protein 2,Fibrinogen gamma chain, isoform CRA_a,Ras-related protein Rab-7a,Protein unc-45 homolog A,Kinase D-interacting substrate of 220 kDa,DNA helicase,PTPRF interacting protein alpha 1 isoform b variant (Fragment),Patatin-like phospholipase domain-containing protein 6,Lysine-specific demethylase 5D (Fragment),Poly(rC)-binding protein 2,cDNA FLJ58832, highly similar to Heterogeneous nuclear ribonucleoprotein A3,Epididymis secretory sperm binding protein,Usher syndrome type 1G protein isoform 2,Disabled homolog 2-interacting protein,ATP-binding cassette sub-family D member 3,Extended synaptotagmin-2,Peregrin (Fragment),MAP/microtubule affinity-regulating kinase 3,Eukaryotic translation initiation factor 4H,cDNA FLJ55066, highly similar to LAS1-like protein,Myotubularin-related protein 5,cDNA FLJ77041, highly similar to Homo sapiens RAS protein activator like 2 (RASAL2), transcript variant 1, mRNA (Fragment),Transferrin receptor protein 1,Sideroflexin-3,Uncharacterized protein DKFZp761H087 (Fragment),Chromodomain-helicase-DNA-binding protein 3,WD40 repeat-containing protein SMU1,GTP-binding protein 10 (Fragment),Ras-related C3 botulinum toxin substrate 1 (Rho family, small GTP binding protein Rac1),Splicing factor 4,dolichyl-phosphate-mannose--protein mannosyltransferase,cDNA FLJ77055, highly similar to Homo sapiens WD repeat domain 75 (WDR75), mRNA (Fragment),Fusion (Involved in t(12;16) in malignant liposarcoma) isoform a variant (Fragment),cDNA FLJ56677, highly similar to RNA-binding protein Raly,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,cDNA FLJ77762, highly similar to Homo sapiens cullin-associated and neddylation-dissociated 1 (CAND1), mRNA,Mitochondrial GTPase 1,Ras-related protein Rap-1A,RNA-binding protein EWS,Erlin (Fragment),HIG1 domain-containing protein,cDNA, FLJ92657, highly similar to Homo sapiens heterogeneous nuclear ribonucleoprotein C (C1/C2) (HNRPC), transcript variant 2, mRNA,cDNA, FLJ94570, Homo sapiens mesenchymal stem cell protein DSC43 (LOC51333), mRNA,cDNA, FLJ94773, highly similar to Homo sapiens splicing factor, arginine/serine-rich 2, interacting protein (SFRS2IP), mRNA,cDNA, FLJ95176, Homo sapiens CGI-48 protein (CGI-48), mRNA,Trimethylguanosine synthase,Glutamate-rich WD repeat-containing protein 1 (Fragment),cDNA FLJ40872 fis, clone TUTER2000283, highly similar to Homo sapiens transformer-2-beta (SFRS10) gene,DNA-binding protein (Fragment),dynamin GTPase,cDNA FLJ44601 fis, clone BLADE2007799, highly similar to U3 small nucleolar RNA-associated protein 6 homolog,cDNA FLJ33228 fis, clone ASTRO2001122, highly similar to Zinc finger protein 64, isoforms 1 and 2,M-phase phosphoprotein 8,Zinc finger CCHC domain-containing protein 10,cDNA FLJ54840, highly similar to Cyclin-L2,Uncharacterized protein DKFZp666L156 (Fragment),cDNA FLJ58890, highly similar to GTP-binding protein PTD004,Heterogeneous nuclear ribonucleoprotein A/B,cDNA FLJ52003, highly similar to Homo sapiens nucleoredoxin (NXN), mRNA,Metalloproteinase inhibitor 3,cDNA FLJ54122, highly similar to Cytosol aminopeptidase,ZNF711 protein (Fragment),Atypical kinase COQ8A, mitochondrial,cDNA FLJ56367,cDNA FLJ50327, highly similar to Telomerase protein component 1,Fibrinogen beta chain,Ribosome biogenesis protein NOP53 (Fragment),SKI8 subunit of superkiller complex,High glucose-regulated protein 8,cDNA FLJ59580, highly similar to Cell division protein kinase 10,F-box/LRR-repeat protein 19,U2 snRNP-associated SURP motif-containing protein (Fragment),GTPBP4 protein (Fragment),HCG2023567, isoform CRA_a,Cytokine-like nuclear factor N-PAC (Fragment),TFAM protein (Fragment),High mobility group protein B3 (Fragment),Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein,RRM domain-containing protein (Fragment),Ras-related protein Rab-35 (Fragment),CAD protein,rRNA-processing protein FCF1 homolog,Cisplatin resistance related protein CRR9p, isoform CRA_c,S phase cyclin A-associated protein in the endoplasmic reticulum (Fragment),Probable 18S rRNA (guanine-N(7))-methyltransferase (Fragment),small monomeric GTPase (Fragment),Eukaryotic translation initiation factor 3 subunit M (Fragment),Calcium homeostasis endoplasmic reticulum protein,BUB3-interacting and GLEBS motif-containing protein ZNF207,Vascular endothelial zinc finger 1 (Fragment),Isochorismatase domain-containing protein 2,RNA-binding protein 42,Alkyldihydroxyacetonephosphate synthase, peroxisomal,PGRMC1 protein,Insulin-like growth factor 2 mRNA-binding protein 3,U2 snRNP-associated SURP motif-containing protein,Putative GTP-binding protein 6,Ribosome quality control complex subunit NEMF,Zinc finger Ran-binding domain-containing protein 2,Ribosome biogenesis protein NSA2 homolog,Epoxide hydrolase,Nucleolar transcription factor 1,Transcriptional repressor protein YY1,Moesin,High mobility group protein B2,Myc-associated zinc finger protein,WD repeat-containing protein 5,Small EDRK-rich factor 2,A-kinase anchor protein 17A,Transcription factor Sp2,NAT10 protein (Fragment),Heterogeneous nuclear ribonucleoprotein A0,28 kDa heat- and acid-stable phosphoprotein,Putative MAPK activating protein,Nucleolar GTP-binding protein 2,LRP chaperone MESD,Epididymis secretory protein Li 85,JPH1 protein (Fragment),RNA transcription, translation and transport factor protein,Cyclin-dependent kinase 11A,Polynucleotide 5-hydroxyl-kinase NOL9,RNA-binding protein 26,Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3,Pre-mRNA-splicing factor 38B,Uncharacterized protein DKFZp762K012 (Fragment),Tetratricopeptide repeat protein 27,Sideroflexin-4,7SK snRNA methylphosphate capping enzyme,THO complex subunit 6 homolog,MAZ protein,Calcium homeostasis endoplasmic reticulum protein,pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3,Putative ribosome-binding factor A, mitochondrial,CDGSH iron-sulfur domain-containing protein 2,Plasminogen activator inhibitor 1 RNA-binding protein,Putative RNA-binding protein 15B,Kelch domain-containing protein 4,Zinc finger CCCH domain-containing protein 15,Serine/arginine-rich splicing factor 12,Cytoplasmic 60S subunit biogenesis factor ZNF622,Splicing factor ESS-2 homolog,Serine/threonine-protein phosphatase PGAM5, mitochondrial,Zinc finger matrin-type protein 2,Magi1d,Cyclin-L2,Msx2-interacting protein,Ribosomal protein S6 kinase beta-2,rRNA-processing protein UTP23 homolog,Nucleolar protein 10,Death-inducer obliterator 1",H
A,RNA processing and modification ,225,A0A023T6R1 A0A7P0Z4F9 A8KAQ5 A0A024QZY5 A0A024R0H7 M0R3F1 B7Z6F7 A0A8V8TR86 Q09161 A0A024R1I7 A0A024R1K8 B4DUQ1 A0A024R333 A0A024R3A8 A0A024R566 A0A024R6D8 A0A024R6H0 A0A024R6W2 A0A024R753 A0A024R7L5 A0A024R7T3 J3QL05 H0YAR2 Q9BWT3 Q9BZI7 Q9C0J8 Q9H2U1 Q9H5Q4 Q9H5Z1 Q9H9Y2 Q9HAU5 Q9NP64 Q9NR30 Q9NRR4 Q9NUL7 Q9NV31 Q9NVP1 Q9NX24 Q9NZI8 Q9UHX1 Q9UJV9 Q9UPT8 Q9Y2P8 Q9Y2R4 Q9Y2X3 Q9Y383 Q9Y3A4 V9GZ56 Q9UKD2 A0A024RAS3 A0A384N652 A0A024RBU2 Q13838 A0A087WT20 B4DP70 A0A087X0X3 F5H0Q6 Q5TAL4 B7Z876 A0A0B4J1Z1 A8K6X3 A0A2R8YFR4 A0A0J9YVP6 A0A0S2Z4W1 A0A7I2V4J2 B7WPG3 A6NLN1 A0A140VK53 A0A1X7SBZ2 A0A384MDT2 P31943 Q6PIX2 Q15366 M0QXS5 A0A3B3IRU2 A0A3B3IUD7 A8K9K8 A0A590UJK4 Q05CK9 H0YJH9 B3KM80 A0A7N4I394 A0A7P0T8J7 P42704 Q86VN0 A0A8I5KX04 A0A8I5KZ07 A0A8V8TM61 A0A8V8TQT0 A0JLS5 A0MNP2 A6NHQ2 A8K0B9 B3KY12 A8K644 B4DET0 A8K6V3 A8K7A1 A8K8Y8 B0UZZ8 B4DIQ0 P84103 B2R791 B4E043 Q0VGD6 B2R802 P26196 B2RBA0 B2RC42 B2RDF2 B7Z6D5 B3KMC9 B3KRJ9 H7C4H8 Q99459 B4DDG3 B4DGF8 Q00839 B4DWW8 B4DYZ1 B4DZQ5 F6VRR5 B4E3M6 P08579 B5BUB5 P17844 H3BV80 E9PKV5 E9PLP8 E9PQ56 Q49AN9 F5H578 Q6NWY9 F8WJN3 G3V256 G3V529 H0Y714 H0YJQ1 Q7L2E3 Q6IB29 H7C3E9 J3KPP4 J3KTL2 J3QR07 K7ENG2 O00148 O00425 O00488 O00566 O00567 O43143 O43159 Q6IAP9 O43290 O43660 Q5SQH4 O60870 O75533 O75643 O75940 O94906 Q0P607 O95232 O95639 O95707 P09661 Q96BS4 P26368 Q59GY2 P46087 P49756 Q6PJJ2 P61129 P61221 P62304 P62306 P62314 P62316 P62318 P78345 Q01081 Q15428 Q10570 Q12872 Q13206 Q13435 Q13573 Q14147 Q14562 Q14684 Q53SS8 Q53FG6 Q15695 Q15717 Q1W6G4 Q53F02 Q5T3I0 Q5T760 Q5TDG3 Q5W009 Q69YN4 Q6P087 Q6P158 Q6P2Q9 Q6UN15 Q9H6S0 Q9HCS7 Q7L014 Q7Z478 Q7Z7F0 Q86V81 Q86XP3 Q8IX18 Q8IY37 Q8IY81 Q8N0Z8 Q8N1G2 Q8N3C0 Q8N5P1 Q8TDD1 Q8WXA9 Q96BK5 Q99575 Q96LT9 Q9BQ39 ,"Mago nashi protein,Double-stranded RNA-specific adenosine deaminase,U1 small nuclear ribonucleoprotein 70 kDa,Serine/threonine-protein kinase PRP4 homolog,Testis tissue sperm-binding protein Li 44a,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment),cDNA FLJ61705, highly similar to Symplekin,Probable ATP-dependent RNA helicase DDX23,Nuclear cap-binding protein subunit 1,Tuftelin-interacting protein 11,Splicing factor 3a, subunit 1, 120kDa, isoform CRA_a,Heterogeneous nuclear ribonucleoprotein K,Transmembrane protein 113, isoform CRA_a,Splicing factor, arginine/serine-rich, 46kD, isoform CRA_a,Splicing factor 1,Splicing factor, arginine/serine-rich 5, isoform CRA_a,Cleavage and polyadenylation specificity factor subunit 2,Cleavage and polyadenylation specificity factor subunit 5,RNA binding motif protein 28 isoform 1,UPF1,Heterogeneous nuclear ribonucleoprotein F, isoform CRA_a,Serine/arginine-rich splicing factor 2 (Fragment),Polyadenylate-binding protein,Poly(A) polymerase gamma,Regulator of nonsense transcripts 3B,pre-mRNA 3 end processing protein WDR33,ATP-dependent DNA/RNA helicase DHX36,Dimethyladenosine transferase 2, mitochondrial,Probable ATP-dependent RNA helicase DHX35,Ribosome production factor 1,Regulator of nonsense transcripts 2,Zinc finger CCHC domain-containing protein 17,Nucleolar RNA helicase 2,Ribonuclease 3,Probable ATP-dependent RNA helicase DDX28,U3 small nucleolar ribonucleoprotein protein IMP3,ATP-dependent RNA helicase DDX18,H/ACA ribonucleoprotein complex subunit 2,Insulin-like growth factor 2 mRNA-binding protein 1,Poly(U)-binding-splicing factor PUF60,Probable ATP-dependent RNA helicase DDX41,Zinc finger CCCH domain-containing protein 4,RNA 3-terminal phosphate cyclase-like protein,Probable ATP-dependent RNA helicase DDX52,Nucleolar protein 58,Putative RNA-binding protein Luc7-like 2,Ribosomal RNA-processing protein 7 homolog A,U6 snRNA-associated Sm-like protein LSm4 (Fragment),mRNA turnover protein 4 homolog,RNA helicase,RNA helicase,U11/U12 small nuclear ribonucleoprotein 35 kDa protein,Spliceosome RNA helicase DDX39B,DDB1- and CUL4-associated factor 13,ATP-dependent RNA helicase DDX1 (Fragment),Heterogeneous nuclear ribonucleoprotein M,CLK4-associating serine/arginine-rich protein,U1 small nuclear ribonucleoprotein C,cDNA FLJ55551, highly similar to RNA-binding protein 16,Serine/arginine-rich-splicing factor 7,RNA helicase,RNA helicase,Poly(U)-binding-splicing factor PUF60 (Fragment),Serine/arginine repetitive matrix 1 isoform 1 (Fragment),Non-POU domain-containing octamer-binding protein,Heterogeneous nuclear ribonucleoprotein L-like,Polypyrimidine tract-binding protein 1,Testicular secretory protein Li 53,RNA helicase,Epididymis secretory sperm binding protein,Heterogeneous nuclear ribonucleoprotein H,SFPQ protein (Fragment),Poly(rC)-binding protein 2,Heterogeneous nuclear ribonucleoprotein L (Fragment),NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae), isoform CRA_b,Programmed cell death 11, isoform CRA_a,rRNA adenine N(6)-methyltransferase,Serine/arginine-rich-splicing factor 6,SYNCRIP protein (Fragment),Polyadenylate-binding protein 2 (Fragment),Nucleolin,Pre-mRNA-processing factor 40 homolog A,Protein AAR2 homolog,Leucine-rich PPR motif-containing protein, mitochondrial,Zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2,Pre-mRNA cleavage complex 2 protein Pcf11,RNA helicase,HCG1811743, isoform CRA_d,H/ACA ribonucleoprotein complex subunit 3,TBL3 protein (Fragment),CDW11/WDR57,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,rRNA adenine N(6)-methyltransferase,cDNA FLJ46581 fis, clone THYMU3043200, highly similar to Splicing factor 3A subunit 3,Splicing factor, arginine/serine-rich 4, isoform CRA_b,RNA helicase,cDNA FLJ78677, highly similar to Homo sapiens splicing factor 3b, subunit 3, 130kDa (SF3B3), mRNA,RNA helicase,cDNA FLJ77796, highly similar to Homo sapiens evolutionarily conserved G-patch domain containing protein mRNA,Chromosome 6 open reading frame 11,mRNA-capping enzyme,Serine/arginine-rich splicing factor 3,U4/U6 small nuclear ribonucleoprotein Prp3,KH domain containing, RNA binding, signal transduction associated 1, isoform CRA_b,HNRPR protein (Fragment),U1 small nuclear ribonucleoprotein A,Probable ATP-dependent RNA helicase DDX6,Pre-mRNA-splicing factor SLU7,cDNA, FLJ95843, highly similar to Homo sapiens small nuclear RNA activating complex, polypeptide 1, 43kDa (SNAPC1), mRNA,Pescadillo homolog,RNA helicase,5-3 exoribonuclease,cDNA FLJ34439 fis, clone HLUNG2001146, highly similar to Splicing factor, arginine/serine-rich 12,Histone RNA hairpin-binding protein (Fragment),Cell division cycle 5-like protein,Cleavage stimulation factor 50 kDa subunit,cDNA FLJ57877, highly similar to Cleavage and polyadenylation specificity factor 7,Heterogeneous nuclear ribonucleoprotein U,U4/U6 small nuclear ribonucleoprotein Prp31,RNA helicase,Serine/threonine-protein kinase PRP4 homolog,Polymerase delta-interacting protein 3,cDNA FLJ55446, highly similar to Superkiller viralicidic activity 2-like 2,U2 small nuclear ribonucleoprotein B,Autoantigen La (Fragment),Probable ATP-dependent RNA helicase DDX5,RNA-binding protein with serine-rich domain 1,Polyribonucleotide 5-hydroxyl-kinase Clp1,Cleavage stimulation factor subunit 3,Poly(U)-binding-splicing factor PUF60 (Fragment),Small nuclear ribonucleoprotein G,Pre-mRNA-processing factor 40 homolog A,Pre-mRNA-processing factor 40 homolog B,Cleavage and polyadenylation specificity factor subunit 6,Zinc finger CCCH domain-containing protein 14,RNA helicase,U3 small nucleolar ribonucleoprotein protein IMP4 (Fragment),Neuroguidin,ATP-dependent RNA helicase DHX30,EBNA1 binding protein 2,Probable ATP-dependent RNA helicase DDX56 (Fragment),Cisplatin resistance-associated overexpressed protein, isoform CRA_b,Serine/arginine-rich splicing factor 1,YTH domain-containing protein 1,Splicing factor U2AF subunit,ATP-dependent RNA helicase DDX39A,Insulin-like growth factor 2 mRNA-binding protein 3,Zinc finger protein 593,U3 small nucleolar ribonucleoprotein protein MPP10,Nucleolar protein 56,ATP-dependent RNA helicase DHX15,Ribosomal RNA-processing protein 8,PRPF4 protein,U4/U6.U5 tri-snRNP-associated protein 1,Pleiotropic regulator 1,RNA helicase,DNA/RNA-binding protein KIN17,Splicing factor 3B subunit 1,U5 small nuclear ribonucleoprotein 200 kDa helicase,Survival of motor neuron-related-splicing factor 30,Pre-mRNA-processing factor 6,Splicing factor, arginine/serine-rich 15,Luc7-like protein 3,Cleavage and polyadenylation specificity factor subunit 4,Ribonuclease P protein subunit p29,U2 small nuclear ribonucleoprotein A,FBL protein (Fragment),Splicing factor U2AF 65 kDa subunit,60S ribosomal protein L4 (Fragment),Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,RNA-binding protein 25,RRP1 protein (Fragment),Zinc finger CCCH domain-containing protein 6,ATP-binding cassette sub-family E member 1,Small nuclear ribonucleoprotein E,Small nuclear ribonucleoprotein F,Small nuclear ribonucleoprotein Sm D1,Small nuclear ribonucleoprotein Sm D2,Small nuclear ribonucleoprotein Sm D3,Ribonuclease P protein subunit p38,Splicing factor U2AF 35 kDa subunit,Splicing factor 3A subunit 2,Cleavage and polyadenylation specificity factor subunit 1,Splicing factor, suppressor of white-apricot homolog,Probable ATP-dependent RNA helicase DDX10,Splicing factor 3B subunit 2,SNW domain-containing protein 1,Probable ATP-dependent RNA helicase DHX34,ATP-dependent RNA helicase DHX8,Ribosomal RNA processing protein 1 homolog B,Epididymis secretory protein Li 85,Splicing factor 3b, subunit 4 variant (Fragment),Putative U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1,ELAV-like protein 1,LUC7-like (S. cerevisiae),Cleavage and polyadenylation specific factor 3, 73kDa variant (Fragment),G patch domain-containing protein 4,Serine/arginine-rich-splicing factor 11,WD repeat domain 3, isoform CRA_b,Splicing factor 45,Protein virilizer homolog,Mitochondrial mRNA pseudouridine synthase RPUSD3,Putative ATP-dependent RNA helicase DHX57,Pre-mRNA-processing-splicing factor 8,Pre-mRNA 3-end-processing factor FIP1,3-5 RNA helicase YTHDC2,Pre-mRNA-splicing factor SYF1,Probable ATP-dependent RNA helicase DDX46,ATP-dependent RNA helicase DHX29,KH homology domain-containing protein 4,THO complex subunit 4,ATP-dependent RNA helicase DDX42,Probable ATP-dependent RNA helicase DHX40,Probable ATP-dependent RNA helicase DHX37,pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3,tRNA pseudouridine synthase-like 1,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1,Activating signal cointegrator 1 complex subunit 3,Zinc finger CCCH domain-containing protein 8,ATP-dependent RNA helicase DDX54,Splicing regulatory glutamine/lysine-rich protein 1,PIN2/TERF1-interacting telomerase inhibitor 1,Ribonucleases P/MRP protein subunit POP1,RNA-binding region-containing protein 3,ATP-dependent RNA helicase DDX50",H
